	2844
1902_ADVENTURE	1
1902_FANTASY	1
1902_SHORT	1
1920_COMEDY	2
1920_CRIME	1
1920_DRAMA	1
1920_HORROR	1
1920_SHORT	1
1920_THRILLER	1
1921_COMEDY	2
1921_DRAMA	3
1921_FAMILY	1
1921_FANTASY	1
1921_HORROR	1
1923_COMEDY	1
1923_ROMANCE	1
1923_THRILLER	1
1924_ACTION	1
1924_COMEDY	2
1924_DOCUMENTARY	1
1924_DRAMA	1
1924_FAMILY	1
1924_FANTASY	1
1925_ADVENTURE	2
1925_COMEDY	2
1925_DRAMA	3
1925_ROMANCE	2
1925_WAR	1
1926_ACTION	1
1926_ADVENTURE	1
1926_COMEDY	3
1926_DRAMA	4
1926_ROMANCE	5
1926_SHORT	1
1927_COMEDY	1
1927_DRAMA	2
1927_ROMANCE	2
1927_SCI-FI	1
1928_BIOGRAPHY	1
1928_COMEDY	5
1928_DRAMA	4
1928_FAMILY	1
1928_HISTORY	1
1928_ROMANCE	5
1928_WESTERN	1
1929_DOCUMENTARY	1
1930_DRAMA	2
1930_ROMANCE	1
1930_WAR	1
1931_COMEDY	2
1931_CRIME	1
1931_DRAMA	3
1931_ROMANCE	1
1931_THRILLER	1
1932_COMEDY	4
1932_CRIME	2
1932_DRAMA	2
1932_FILM-NOIR	1
1932_ROMANCE	3
1932_SHORT	1
1932_SPORT	1
1933_COMEDY	1
1933_DRAMA	2
1933_MUSICAL	2
1933_ROMANCE	2
1934_COMEDY	3
1934_CRIME	1
1934_DRAMA	1
1934_HISTORY	1
1934_MUSICAL	1
1934_MYSTERY	2
1934_ROMANCE	3
1935_COMEDY	1
1935_MUSIC	1
1935_MUSICAL	1
1936_COMEDY	2
1936_DRAMA	2
1936_ROMANCE	2
1937_COMEDY	1
1937_CRIME	1
1937_DRAMA	3
1937_FANTASY	1
1937_MUSICAL	1
1937_ROMANCE	2
1937_WAR	1
1938_DOCUMENTARY	1
1938_SPORT	1
1939_ADVENTURE	1
1939_COMEDY	1
1939_DRAMA	3
1939_FAMILY	1
1939_FANTASY	1
1939_ROMANCE	2
1939_WAR	1
1940_COMEDY	5
1940_DRAMA	4
1940_MYSTERY	1
1940_ROMANCE	3
1940_THRILLER	1
1940_WAR	1
1941_ADVENTURE	1
1941_COMEDY	1
1941_CRIME	1
1941_DRAMA	4
1941_FILM-NOIR	1
1941_MYSTERY	1
1941_ROMANCE	1
1942_COMEDY	1
1942_DOCUMENTARY	1
1942_DRAMA	2
1942_ROMANCE	2
1942_SHORT	1
1942_WAR	2
1943_CRIME	1
1943_DRAMA	2
1943_ROMANCE	1
1943_WAR	1
1943_WESTERN	1
1944_COMEDY	1
1944_CRIME	3
1944_DRAMA	2
1944_FILM-NOIR	2
1945_DRAMA	4
1945_ROMANCE	2
1945_WAR	1
1946_CRIME	1
1946_DRAMA	5
1946_FAMILY	1
1946_FANTASY	2
1946_FILM-NOIR	2
1946_MYSTERY	1
1946_ROMANCE	4
1946_WAR	2
1947_ANIMATION	1
1947_COMEDY	1
1947_DRAMA	1
1947_FILM-NOIR	1
1947_SHORT	1
1947_THRILLER	1
1948_ACTION	1
1948_ADVENTURE	1
1948_DRAMA	4
1948_FAMILY	1
1948_MUSIC	1
1948_ROMANCE	1
1949_COMEDY	1
1949_CRIME	2
1949_DRAMA	3
1949_FILM-NOIR	2
1949_MYSTERY	1
